HeatNo,TotalIngotsWeight,PouringScrap,OtherScrap,Cr_Last_EOP,Cr_Final,E3,E6,E8,OCR12,OCR12VM,UTOPMO2,UTOPMO4,PV_E1,PV_E3,PV_E40,PV_E6,PV_E8,FeCr
86632,43800.0,800.0,1500.0,10.73,11.63,0.0,21700.0,0.0,0.0,10000.0,0.0,0.0,0,0,0,21700,0,650.0
86633,44240.0,1000.0,200.0,10.38,11.36,0.0,38100.0,0.0,0.0,0.0,0.0,0.0,0,0,0,38100,0,600.0
86640,47380.0,1200.0,500.0,9.37,11.28,0.0,39300.0,0.0,0.0,0.0,0.0,0.0,0,0,0,39300,0,1210.0
86641,47360.0,700.0,3000.0,10.82,11.4,0.0,40200.0,0.0,0.0,0.0,0.0,0.0,0,0,0,40200,0,300.0
86650,43700.0,700.0,2000.0,10.81,11.2,0.0,20600.0,0.0,0.0,10000.0,0.0,0.0,0,0,0,20600,0,480.0
86659,45030.0,1500.0,700.0,9.92,11.45,0.0,38000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,38000,0,1200.0
86660,42660.0,1000.0,1100.0,10.58,11.39,0.0,38000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,38000,0,540.0
86669,43800.0,800.0,1400.0,0.0,11.36,0.0,21500.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,21500,0,1080.0
86670,43800.0,800.0,2000.0,10.39,11.44,0.0,21600.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,21600,0,560.0
86671,45500.0,500.0,1500.0,10.81,11.66,0.0,14000.0,0.0,0.0,15000.0,0.0,10000.0,0,0,0,14000,0,880.0
86672,46510.0,800.0,400.0,9.3,11.74,0.0,15100.0,0.0,0.0,15000.0,0.0,10000.0,0,0,0,15100,0,1210.0
86699,44240.0,1500.0,2000.0,10.06,11.35,0.0,22300.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,22300,0,900.0
86706,49440.0,600.0,2400.0,10.63,11.59,0.0,22600.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,22600,0,470.0
86707,44850.0,600.0,300.0,10.48,11.44,0.0,22100.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,22100,0,400.0
86717,43450.0,1500.0,500.0,10.02,11.46,0.0,22000.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,22000,0,1100.0
86725,49000.0,600.0,1000.0,11.03,11.45,0.0,25000.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,25000,0,270.0
86726,46350.0,800.0,200.0,10.25,11.33,0.0,23600.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,23600,0,350.0
86727,44390.0,900.0,2000.0,9.99,11.3,0.0,22200.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,22200,0,820.0
86735,47360.0,400.0,2800.0,9.58,11.38,0.0,14000.0,0.0,11000.0,0.0,0.0,15000.0,0,0,0,14000,0,1100.0
86736,47380.0,800.0,1500.0,10.08,11.31,0.0,12900.0,0.0,10000.0,0.0,0.0,15000.0,0,0,0,12900,0,980.0
86737,45160.0,900.0,1200.0,10.31,11.58,0.0,20100.0,0.0,0.0,10000.0,0.0,0.0,0,0,0,20100,0,760.0
86738,46610.0,1000.0,1500.0,10.17,11.51,0.0,20000.0,0.0,0.0,10000.0,0.0,0.0,0,0,0,20000,0,650.0
86743,47600.0,1000.0,1000.0,11.06,11.44,0.0,20700.0,0.0,0.0,15000.0,0.0,5000.0,0,0,0,20700,0,0.0
86744,47380.0,800.0,300.0,10.82,11.4,0.0,19100.0,0.0,0.0,15000.0,0.0,5000.0,0,0,0,19100,0,330.0
86750,46960.0,1000.0,2300.0,9.9,11.83,0.0,14200.0,0.0,0.0,9000.0,0.0,15000.0,0,0,0,14200,0,1280.0
86774,49000.0,600.0,200.0,9.5,11.66,0.0,40100.0,0.0,0.0,0.0,0.0,0.0,0,0,0,40100,0,1700.0
86775,47380.0,800.0,1000.0,9.47,11.48,0.0,18100.0,0.0,0.0,19000.0,0.0,0.0,0,0,0,18100,0,1300.0
86779,46190.0,600.0,3000.0,10.13,11.23,0.0,18000.0,0.0,0.0,20000.0,0.0,0.0,0,0,0,18000,0,750.0
86805,50400.0,600.0,1200.0,9.75,11.23,0.0,17700.0,0.0,0.0,20000.0,0.0,0.0,0,0,0,17700,0,1320.0
86806,47380.0,800.0,600.0,11.23,11.42,0.0,17100.0,0.0,0.0,20000.0,0.0,0.0,0,0,0,17100,0,0.0
86811,48960.0,400.0,100.0,10.51,11.3,0.0,19000.0,0.0,0.0,20000.0,0.0,0.0,0,0,0,19000,0,510.0
86812,44240.0,1000.0,400.0,10.39,11.52,0.0,16500.0,0.0,0.0,20000.0,0.0,0.0,0,0,0,16500,0,760.0
86821,49440.0,800.0,300.0,10.64,11.4,0.0,18000.0,0.0,0.0,20000.0,0.0,0.0,0,0,0,18000,0,370.0
86831,43740.0,1000.0,2500.0,10.71,11.32,0.0,16100.0,0.0,0.0,20000.0,0.0,0.0,0,0,0,16100,0,330.0
86839,47360.0,400.0,2200.0,9.76,11.4,0.0,39600.0,0.0,0.0,0.0,0.0,0.0,0,0,0,39600,0,905.0
86849,43800.0,800.0,1500.0,9.97,11.68,0.0,37300.0,0.0,0.0,0.0,0.0,0.0,0,0,0,37300,0,955.0
86854,49440.0,800.0,1300.0,10.56,11.41,0.0,18200.0,0.0,0.0,20000.0,0.0,0.0,0,0,0,18200,0,740.0
86855,49440.0,800.0,1200.0,10.72,11.26,0.0,16100.0,0.0,0.0,20000.0,0.0,0.0,0,0,0,16100,0,890.0
86859,43450.0,700.0,500.0,8.96,11.39,0.0,15500.0,0.0,0.0,20000.0,0.0,0.0,0,0,0,15500,0,1610.0
86860,47400.0,1000.0,1700.0,10.03,11.39,0.0,16300.0,0.0,0.0,20000.0,0.0,0.0,0,0,0,16300,0,1200.0
86886,49440.0,800.0,400.0,10.57,11.34,0.0,19600.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,19600,0,750.0
86888,45210.0,300.0,800.0,10.33,11.3,0.0,18500.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,18500,0,700.0
86912,43680.0,800.0,1200.0,10.47,11.38,0.0,18600.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,18600,0,340.0
86922,49440.0,1200.0,0.0,10.61,11.38,0.0,22200.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,22200,0,600.0
86923,43880.0,1000.0,500.0,10.56,11.44,0.0,20000.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,20000,0,400.0
86931,48410.0,1200.0,1000.0,10.86,11.43,0.0,22000.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,22000,0,500.0
86948,47320.0,700.0,200.0,10.25,11.57,0.0,22300.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,22300,0,820.0
86954,43800.0,800.0,3200.0,10.81,11.3,0.0,20300.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,20300,0,390.0
86957,51800.0,800.0,1000.0,9.5,11.51,0.0,22300.0,0.0,0.0,16000.0,0.0,0.0,0,0,0,22300,0,2050.0
86965,45540.0,700.0,300.0,9.98,11.3,0.0,20000.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,20000,0,700.0
86971,50400.0,600.0,1600.0,10.16,11.36,0.0,22000.0,0.0,0.0,16000.0,0.0,0.0,0,0,0,22000,0,940.0
86972,49440.0,800.0,3500.0,0.0,11.47,0.0,22100.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,22100,0,0.0
86983,50400.0,600.0,700.0,10.88,11.43,0.0,20000.0,0.0,0.0,16000.0,0.0,0.0,0,0,0,20000,0,510.0
87001,44850.0,700.0,1800.0,10.36,11.48,0.0,10100.0,0.0,10000.0,15000.0,0.0,0.0,0,0,0,10100,0,1200.0
87007,48030.0,1000.0,600.0,10.04,11.56,0.0,22300.0,0.0,0.0,16000.0,0.0,0.0,0,0,0,22300,0,900.0
87039,43800.0,1200.0,2000.0,10.52,11.3,0.0,20100.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,20100,0,1100.0
87040,47380.0,1200.0,1600.0,11.06,11.7,0.0,39400.0,0.0,0.0,0.0,0.0,0.0,0,0,0,39400,0,1350.0
87041,47380.0,800.0,500.0,10.92,11.59,0.0,39000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,39000,0,550.0
87053,44420.0,700.0,1800.0,11.6,11.49,0.0,19000.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,19000,0,0.0
87074,48150.0,600.0,1000.0,10.28,11.26,0.0,41000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,41000,0,830.0
87075,46260.0,500.0,800.0,9.95,11.38,0.0,22000.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,22000,0,960.0
87093,47120.0,800.0,1200.0,10.7,11.75,0.0,24100.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,24100,0,1070.0
87094,49440.0,800.0,1100.0,10.36,11.48,0.0,22100.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,22100,0,1280.0
87095,46780.0,500.0,1400.0,0.0,11.52,0.0,21700.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,21700,0,1050.0
87096,46610.0,1000.0,500.0,10.61,11.47,0.0,20200.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,20200,0,480.0
87116,46610.0,1000.0,200.0,11.37,11.55,0.0,20100.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,20100,0,80.0
87119,48410.0,800.0,500.0,10.99,11.46,0.0,23500.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,23500,0,550.0
87124,43800.0,1000.0,2200.0,9.86,11.74,0.0,20100.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,20100,0,1120.0
87133,48000.0,700.0,1000.0,10.76,11.34,0.0,24000.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,24000,0,550.0
87137,49440.0,800.0,1500.0,10.51,11.47,0.0,24000.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,24000,0,490.0
87138,49000.0,600.0,1000.0,10.72,11.59,0.0,21600.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,21600,0,200.0
87139,45420.0,600.0,600.0,9.43,11.43,0.0,22000.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,22000,0,1250.0
87150,43720.0,700.0,2600.0,11.53,11.43,0.0,21000.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,21000,0,0.0
87153,49440.0,1200.0,2000.0,10.1,11.4,0.0,11500.0,0.0,0.0,25000.0,0.0,0.0,0,0,0,11500,0,1000.0
87169,48020.0,700.0,0.0,10.43,11.44,0.0,17100.0,0.0,0.0,20000.0,0.0,0.0,0,0,0,17100,0,560.0
87170,44590.0,700.0,600.0,10.86,11.33,0.0,14000.0,0.0,0.0,20000.0,0.0,0.0,0,0,0,14000,0,620.0
87193,47380.0,800.0,1800.0,11.56,11.8,0.0,17000.0,0.0,0.0,20000.0,0.0,0.0,0,0,0,17000,0,0.0
87194,47380.0,1200.0,700.0,10.61,11.18,0.0,17000.0,0.0,0.0,20000.0,0.0,0.0,0,0,0,17000,0,450.0
87198,46920.0,600.0,800.0,11.9,11.26,0.0,17500.0,0.0,0.0,20000.0,0.0,0.0,0,0,0,17500,0,220.0
87209,43800.0,1200.0,1000.0,10.6,11.18,0.0,15000.0,0.0,0.0,20000.0,0.0,0.0,0,0,0,15000,0,600.0
87210,49440.0,800.0,1000.0,11.16,11.24,0.0,17200.0,0.0,0.0,20000.0,0.0,0.0,0,0,0,17200,0,200.0
87212,42660.0,1500.0,500.0,11.02,11.45,0.0,19600.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,19600,0,250.0
87217,47380.0,800.0,1000.0,10.39,11.38,0.0,20000.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,20000,0,820.0
87218,48410.0,800.0,800.0,9.93,11.33,0.0,20300.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,20300,0,1240.0
87229,55970.0,500.0,1200.0,9.14,11.38,0.0,20600.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,20600,0,2300.0
87231,46280.0,1200.0,1000.0,10.65,11.37,0.0,20000.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,20000,0,610.0
87232,48060.0,600.0,2200.0,11.09,11.39,0.0,23100.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,23100,0,100.0
87250,45040.0,400.0,1500.0,10.25,11.42,0.0,20600.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,20600,0,1010.0
87259,49440.0,800.0,1300.0,11.03,11.29,0.0,21000.0,0.0,7000.0,0.0,0.0,0.0,0,0,0,21000,0,1540.0
87260,47380.0,800.0,2000.0,10.07,11.7,0.0,21000.0,0.0,7000.0,0.0,0.0,0.0,0,0,0,21000,0,1700.0
87261,43040.0,400.0,2000.0,9.88,11.38,0.0,21900.0,0.0,0.0,0.0,0.0,0.0,0,0,0,21900,0,1690.0
87264,48000.0,1000.0,600.0,10.06,11.45,0.0,28600.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,28600,0,1110.0
87265,49000.0,600.0,1200.0,10.77,11.23,0.0,21100.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,21100,0,360.0
87266,48410.0,800.0,1400.0,9.96,11.35,0.0,21300.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,21300,0,1050.0
87281,49440.0,800.0,1200.0,11.15,11.41,0.0,21000.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,21000,0,210.0
87310,44560.0,700.0,1500.0,0.0,11.28,0.0,11500.0,0.0,0.0,23000.0,0.0,0.0,0,0,0,11500,0,300.0
87321,41185.0,800.0,200.0,11.25,11.44,0.0,20500.0,0.0,0.0,13000.0,0.0,0.0,0,0,0,20500,0,120.0
87330,47470.0,600.0,400.0,10.0,11.47,0.0,18000.0,0.0,0.0,6500.0,0.0,0.0,0,0,0,18000,0,860.0
87352,45210.0,400.0,4300.0,10.83,11.25,0.0,18700.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,18700,0,480.0
87360,44880.0,600.0,2000.0,10.93,11.4,0.0,20100.0,0.0,0.0,17000.0,0.0,0.0,0,0,0,20100,0,70.0
87362,46610.0,1000.0,900.0,9.96,11.4,0.0,20700.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,20700,0,1000.0
87374,45250.0,1100.0,800.0,10.67,11.49,0.0,18000.0,0.0,0.0,18000.0,0.0,0.0,0,0,0,18000,0,440.0
87381,47360.0,400.0,0.0,10.46,11.18,0.0,18200.0,0.0,0.0,20000.0,0.0,0.0,0,0,0,18200,0,700.0
87382,41080.0,1000.0,2000.0,11.21,11.39,0.0,18500.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,18500,0,0.0
87389,45030.0,1000.0,200.0,10.16,11.42,0.0,18700.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,18700,0,890.0
87396,49000.0,600.0,0.0,10.27,11.37,0.0,22500.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,22500,0,520.0
87397,48960.0,600.0,1500.0,10.28,11.4,0.0,22600.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,22600,0,800.0
87398,46540.0,600.0,1100.0,10.33,11.32,0.0,22500.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,22500,0,400.0
87409,47360.0,600.0,1300.0,10.04,11.2,0.0,22600.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,22600,0,970.0
87418,50400.0,600.0,1300.0,11.27,11.66,0.0,22500.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,22500,0,420.0
87419,47650.0,600.0,1000.0,10.77,11.36,0.0,21000.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,21000,0,470.0
87429,50940.0,600.0,300.0,10.19,11.35,0.0,21000.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,21000,0,800.0
87430,47360.0,400.0,1500.0,11.62,11.93,0.0,40300.0,0.0,0.0,0.0,0.0,0.0,0,0,0,40300,0,0.0
87431,49330.0,1000.0,1200.0,12.27,11.49,0.0,19000.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,19000,0,0.0
87438,47360.0,700.0,500.0,10.51,11.38,0.0,8500.0,0.0,15000.0,0.0,15000.0,0.0,0,0,0,8500,0,390.0
87445,50400.0,600.0,400.0,10.74,11.35,0.0,20500.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,20500,0,440.0
87446,43060.0,600.0,1500.0,10.86,11.42,0.0,20300.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,20300,0,270.0
87447,47380.0,800.0,1300.0,9.42,11.35,0.0,12600.0,0.0,0.0,0.0,0.0,0.0,0,0,0,12600,0,1700.0
87457,37920.0,1000.0,4400.0,9.44,11.43,0.0,11600.0,0.0,0.0,0.0,15000.0,0.0,0,0,0,11600,0,1430.0
87461,47380.0,800.0,200.0,9.97,11.45,0.0,22100.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,22100,0,850.0
87471,48000.0,800.0,300.0,10.45,11.35,0.0,22500.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,22500,0,720.0
87472,45800.0,700.0,300.0,10.58,11.4,0.0,22500.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,22500,0,820.0
87489,46660.0,1000.0,300.0,10.87,11.39,0.0,21500.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,21500,0,400.0
87490,47600.0,600.0,500.0,11.6,11.4,0.0,22500.0,0.0,0.0,23000.0,0.0,0.0,0,0,0,22500,0,0.0
87491,46920.0,600.0,300.0,10.57,11.3,0.0,15200.0,0.0,0.0,15000.0,15000.0,0.0,0,0,0,15200,0,410.0
87492,48960.0,600.0,700.0,10.48,11.42,0.0,21600.0,0.0,0.0,15000.0,0.0,0.0,0,0,0,21600,0,740.0
